distance,duration,lat,lon
13199,2245,18.523008,73.928871
14437,2321,18.5388504885,73.8987080008
35842,3772,18.642935,73.750472
25561,3940,18.5902220256,74.001237452
23773,3643,18.5807435851,73.9808151126
20411,3320,18.5728568768,73.9537908509
34522,3941,18.5934346,73.7967014
16194,2762,18.5301054389,73.8260405883
13728,2268,18.5206564044,73.8462258875
16164,2647,18.5283913441,73.8428637385
17098,2851,18.5500960088,73.9410765097
13990,2382,18.5243142597,73.8415571675
18102,2865,18.5624049007,73.9170704037
5015,951,18.4777300537,73.8896555454
31999,3425,18.607659,73.760241
14121,2293,18.5406328,73.8949095
18105,2823,18.5658708477,73.9107078686
24895,3765,18.623099474500002,73.8187496737
38482,4296,18.648811641400002,73.7652506679
13386,2273,18.517052517,73.84361106899999
19072,3023,18.570339,73.915614
6933,1432,18.4502492439,73.85056737810001
13677,2320,18.521611727,73.8411042094
36555,3939,18.642935226400002,73.7560661137
26882,3216,18.5618900085,73.7834903598
14820,2376,18.539619433800002,73.8925633952
17199,2716,18.5045549982,73.8141557202
8038,1562,18.4650550758,73.8551210985
16703,2674,18.5404468647,73.8302868605
28917,3335,18.5645273845,73.7770798802
15051,2629,18.5510587953,73.9081527293
30365,4099,18.6581182493,73.776567243
27832,3373,18.5698477802,73.7812232226
10390,1769,18.4625084,73.8255487
36619,4027,18.633430175999997,73.7862788513
10666,1798,18.5213259255,73.8771705329
7707,1360,18.4910622874,73.9001138136
14623,2459,18.5225883441,73.84914111350001
13846,2243,18.5080020887,73.8348224759
9479,1613,18.5126667736,73.8806574047
28452,3266,18.568432,73.775484
14195,2426,18.5238644233,73.84268336
14813,2379,18.5368157388,73.8998854905
11695,2020,18.470292386700002,73.8242324442
24915,3739,18.6226279759,73.819292821
9121,1604,18.4887306204,73.8573362678
16046,2589,18.510983979000002,73.81523396819999
12637,2155,18.521254631199998,73.9238854966
29825,3188,18.582798785599998,73.7612223253
17080,2694,18.5056836879,73.824499324
29412,3380,18.5693399025,73.7819554657
27717,3152,18.56929907,73.77212225
7255,1336,18.4887150398,73.89912273729999
14656,2400,18.489709015,73.8114671409
9222,1690,18.461675495999998,73.8365635648
17205,2895,18.5443795702,73.92258368430001
17982,2890,18.5619481723,73.8365853578
15425,2554,18.4974949544,73.8250783458
13679,2321,18.5216397031,73.84112700819999
30234,3280,18.5910587446,73.7516625971
25758,3833,18.5991731,73.7979881
16824,2695,18.5415746818,73.8292340934
26991,3220,18.5628390617,73.7834393978
13147,2106,18.4884635244,73.95108014350001
23811,2931,18.543754958900003,73.784420751
14686,2498,18.5289772282,73.9193962142
7259,1331,18.472622396400002,73.9232897758
17525,2891,18.5582676025,73.9378129318
29309,4114,18.6491601283,73.7869768962
7562,1495,18.4572587584,73.8517750427
17000,2649,18.5581735,73.9099817
22935,3516,18.5981514645,73.9091518521
25779,3257,18.5519290811,73.79296828060001
36541,3934,18.6428040229,73.7559776008
26447,3925,18.6321628593,73.8015976176
12034,2251,18.4999578156,73.9453781024
5874,1080,18.4823297406,73.8939256221
27197,3255,18.563794148499998,73.7818528712
12641,2069,18.5078049686,73.8442913443
31844,3610,18.5964828588,73.77293016760001
16037,2680,18.5295529377,73.8338313997
12563,2242,18.5365773273,73.8759383932
35814,3936,18.6308335804,73.7685635313
18436,2873,18.5652726948,73.9149688929
13033,2256,18.5056080182,73.9279004931
24455,3024,18.542647182,73.7888484076
18087,2788,18.5649910982,73.9116577059
11205,1990,18.4558759603,73.8198131695
31773,4182,18.6673983005,73.7691938505
27668,3334,18.5641018092,73.7774496898
58581,5298,18.7582333549,73.5803485662
24700,3693,18.5982588,73.8062831
8862,1488,18.508509512899998,73.8780271634
30716,4300,18.660584826199997,73.7955183908
16134,2812,18.5475019569,73.9156890661
19641,3084,18.5533842,73.8082592
30626,4306,18.6572707424,73.79865221680001
6763,1250,18.4812031229,73.9022595808
12139,2041,18.4764320071,73.8228427246
30493,3396,18.5978514916,73.76155558970001
79719,5861,18.7534227002,73.4040020406
25494,3201,18.551618,73.792744
34990,4026,18.604587725,73.7877252325
5293,1040,18.478060128699997,73.8905866072
18268,2802,18.5705747,73.9063014
16711,2615,18.5021058748,73.8215676695
13756,2238,18.5102848498,73.8349176943
18162,2881,18.5627319518,73.9166627079
13414,2208,18.4746744451,73.8159357011
16379,2805,18.5341410599,73.8289866596
16038,2734,18.5312927702,73.8301765546
7771,1510,18.4633600469,73.85847184810001
31834,3607,18.596398014000002,73.7728731707
28166,3394,18.561634151,73.79170496020001
17249,2706,18.5583556447,73.9113717154
14309,2524,18.5483083708,73.9060468599
36236,3896,18.5934830771,73.7074504048
15157,2461,18.5341881072,73.89915224159999
19152,2622,18.5080631323,73.7834497914
14023,2333,18.519102126,73.9314356446
18560,2898,18.565001268699998,73.9161242545
38406,4274,18.6493154699,73.7657431886
12672,2237,18.5350174717,73.8753721118
15160,2435,18.5091873479,73.82159784439999
10558,1768,18.519506513099998,73.87536808850001
13952,2105,18.486303847000002,73.7963820621
7637,1471,18.4638838222,73.8578948379
29793,3284,18.5935450434,73.75732507560001
15390,2543,18.4993104675,73.8273786753
25688,3820,18.5975581914,73.79775837060001
14750,2553,18.5493763787,73.9010908082
16130,2601,18.510961406,73.8177314401
14110,2360,18.5259040957,73.850280717
7413,1478,18.4545418104,73.8510484993
12525,2082,18.4580649614,73.8047166914
31407,3558,18.601193744,73.76088067890001
35045,3617,18.6416616269,73.7376889586
17591,2911,18.5486116094,73.9455920085
36456,3956,18.5934859371,73.70740346609999
12345,2284,18.510366876,73.941382952
15995,2682,18.5564571653,73.8938270509
4897,929,18.471504301,73.8935367018
32051,3432,18.598138118199998,73.74193254859999
13824,2308,18.5267150622,73.8519493863
32268,3415,18.5959010197,73.74047812069999
17180,2880,18.5496459224,73.9418389276
34960,4020,18.604427576099997,73.7879760191
14099,2509,18.5462556156,73.90663124619999
15866,2645,18.5298616138,73.83543033149999
33536,3639,18.5926047412,73.7372889742
7040,1231,18.4809439648,73.87540765109999
10263,1718,18.516636361099998,73.8795154542
36622,3975,18.6427112591,73.7563514337
7124,1306,18.4715707636,73.9228009433
32545,3529,18.2609768426,73.9079552516
13901,2289,18.519455329,73.84519357229999
18491,2882,18.5665694317,73.91439490020001
5391,1060,18.460883939000002,73.9129351079
16489,2585,18.4987893441,73.8138942048
13924,2292,18.5192931927,73.8450594619
34322,3728,18.615347859,73.7657730281
26415,3118,18.5594753976,73.7811789662
27431,3077,18.5655574693,73.7728909403
32795,3571,18.601467,73.7635354
11583,1975,18.470246911900002,73.8221886009
14023,2442,18.5459345723,73.9053689316
16114,2700,18.5449882859,73.9366444945
22014,3460,18.5785682299,73.8157871738
13154,2201,18.5169873437,73.8419008255
30028,3293,18.595129468,73.7607422099
26664,3151,18.5636543025,73.7746280059
10776,1872,18.4617422805,73.8218234852
30037,3295,18.5951405901,73.760823682
24288,3749,18.5776135437,73.9788876101
12275,2145,18.4699279521,73.8304199651
28024,3086,18.58111986,73.7603898346
31658,3499,18.5920187577,73.7648996338
